class,id,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
0,1,1,0.019228,0.024845,4,0.0,1.01,0.002216,0.018552000000000003,1.02,0.017874,1.49003,0.0,0.0,1.04,0,0,0,10,0.0,1.01,0.121386,0.0,0.0,1.06,3,31,0,8,2,5,0.0,0.0,28,0.0,18,0.020683,0.019453,0.020286000000000002,0.0,1.22,8,1.07,3,0,3,0,1.04,0.0,1.02,0.043518,1.02,4,0.0,0.002801,0.020687999999999998,36,6,0.02373,1.15,0.116244,0.019133
1,2,0,0.0,0.0,20,0.0,0.0,0.278898,0.0,0.0,0.0,19.680999999999997,0.0,0.0,0.0,0,4,1,3,0.0,0.0,9.58032,0.0,0.0,1.01,10,85,0,2,1,4,0.0,0.0,1,0.0,20,0.0059299999999999995,0.0,0.016626,3.04,0.0,14,1.01,3,24,2,2,0.0,0.0,3.04,0.186151,2.02,40,0.013097999999999999,0.009791,0.006229,9,1,0.014303,3.13,0.254718,0.0
1,3,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,2,1,1,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,9,1,0.0,0.0,0.0,0.0
0,4,0,0.000734,0.056522,6,0.0,1.01,0.013172999999999999,0.0011710000000000002,8.1,0.001505,10.6655,0.0,0.0,1.02,0,0,1,16,0.0,1.01,9.40365,0.0,0.0,2.03,1,51,0,14,1,10,0.0,0.0,91,0.0,16,0.0038640000000000002,0.001466,0.0061920000000000005,0.0,1.25,11,1.02,10,7,6,1,1.02,0.0,8.1,0.19145,2.04,10,0.0,0.009791,0.0009,18,14,0.055485,3.1,0.347682,0.001253
0,5,0,0.0,0.01056,5,0.0,0.0,0.042989,0.0,5.11,0.0,8.10051,0.0,0.0,0.0,0,0,1,20,0.0,0.0,9.29601,0.0,0.0025,0.0,3,74,7,14,1,11,0.0,0.0,91,2.07,33,0.0,0.0,0.004371,5.05,0.0,14,1.01,13,6,1,1,0.0,0.0,9.16,0.16664600000000002,5.31,10,0.022584,0.016354,0.0022140000000000003,31,12,0.032393,2.04,0.262198,0.0
0,6,0,0.0,0.0,2,0.0,0.0,0.0033640000000000002,0.0,0.0,0.0,5.22331,0.0,0.0,0.0,0,0,0,3,0.0,0.0,9.18542,0.0,0.0,0.0,1,10,0,3,1,0,0.0,0.0,3,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0,2,0,0,0.0,0.0,0.0,0.145653,0.0,4,0.0,0.0,0.0,0,3,0.0,0.0,0.184572,0.0
0,7,0,0.0,0.0,4,0.0,1.01,0.013012000000000001,0.0,0.0,0.045459,12.3488,0.0,0.0,0.0,0,0,0,10,0.0,1.01,9.47392,0.0,0.0,3.03,3,34,1,2,2,2,0.0,0.0,1,0.0,15,0.055241,0.051585,0.06118099999999999,4.04,0.0,5,4.06,1,10,1,0,0.0,0.0,4.04,0.20572,2.02,13,0.074547,0.009791,0.064264,17,1,0.08552799999999999,4.11,0.413225,0.0
0,8,0,0.0,0.0068200000000000005,0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1,25,0,3,1,2,0.0,0.0,3,0.0,8,0.0,0.0,0.003043,0.0,0.0,3,0.0,0,1,0,0,0.0,0.0,2.02,0.0,2.06,2,0.0,0.009791,0.0,32,3,0.0072829999999999995,1.01,0.0,0.0
0,9,1,0.0,0.0,5,0.0,1.01,0.008067,0.0,0.0,0.0,11.6328,0.0,0.0,0.0,0,0,1,4,0.0,0.0,9.41034,0.0,0.0,0.0,1,18,0,3,1,0,0.0,0.0,3,0.0,11,0.0,0.0026219999999999998,0.004154,0.0,0.0,1,1.01,2,7,0,1,0.0,0.0,0.0,0.184725,0.0,10,0.0,0.0,0.001143,0,2,0.0,2.02,0.322628,0.0
0,10,0,0.0,0.0,2,0.0,0.0,0.012142,0.0,0.0,0.0,2.02245,0.0,0.0,0.0,0,0,0,4,0.0,0.0,0.050459,0.0,0.0,0.0,2,44,0,4,1,0,0.0,1.01,6,0.0,11,0.0,0.0,0.0,3.03,0.0,2,2.04,3,4,3,0,0.0,0.0015019999999999999,3.03,0.003675,3.15,4,0.007324,0.012592,0.003942,0,4,0.006864,0.0,0.0009130000000000001,0.0
0,11,0,0.0,0.002888,0,0.0,0.0,0.0013390000000000001,0.0,1.01,0.0,4.46389,0.0,0.0,0.0,0,0,0,7,0.0,0.0,9.178139999999999,0.0,0.0,0.0,0,23,8,4,4,2,0.0,1.01,6,0.0,5,0.0,0.0,0.003043,0.0,0.0,2,0.0,2,3,0,0,0.0,0.002921,1.01,0.14920999999999998,4.09,4,0.0,0.014863,0.0,47,2,0.0032270000000000003,1.01,0.21103899999999998,0.0
0,12,0,0.0,0.0,4,0.0,0.0,0.0005110000000000001,0.0,0.0,0.0,1.49003,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.121386,0.0,0.0,0.0,0,6,0,2,1,2,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0,0,0,0.0,0.0,0.0,0.043518,0.0,4,0.0,0.0,0.0,0,2,0.0,0.0,0.116244,0.0
0,13,0,0.0,0.0036780000000000003,0,0.0,0.0,0.000949,0.0,1.01,0.0,1.84703,0.0,0.0,0.0,0,1,0,7,0.0,0.0,9.09329,1.01,0.0,0.0,2,21,0,7,2,2,0.006499,0.0,21,0.0,10,0.0,0.0,0.0,0.0,0.0,4,0.0,1,1,1,0,0.0,0.0,1.01,0.13692100000000001,1.01,3,0.0,0.0059240000000000004,0.0,15,7,0.004143,0.0,0.175609,0.0
0,14,0,0.005007999999999999,0.00224,14,1.01,4.04,0.171286,0.001852,2.04,0.004675,3.39585,0.0,2.18,5.38,1,0,0,3,0.000977,4.05,0.099537,0.0,0.0,4.81,5,12,13,4,3,2,0.0,0.0,6,1.02,25,0.0040149999999999995,0.004761,0.003744,3.05,13.06,6,7.21,14,0,13,0,2.07,0.0,3.08,0.011216,1.04,16,0.004082,0.0004969999999999999,0.006673999999999999,75,4,0.004413,9.3,0.018294,0.0061649999999999995
1,15,0,0.0,0.0,4,0.0,0.0,0.004944,0.0,0.0,0.0,1.49003,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.121386,0.0,0.0,0.0,12,76,1,1,3,0,0.0,0.0,0,0.0,37,0.0,0.0,0.009111,1.02,0.0,12,1.02,0,0,0,0,0.0,0.0,1.02,0.043518,0.0,4,0.006770999999999999,0.0,0.005461,5,0,0.0072629999999999995,2.03,0.116244,0.0
