,Defective,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_DENSITY,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,PERCENT_COMMENTS
0,0,0,1,0,0,1,1,1,3,11.58,2.67,82.35,0.01,11,0.38,4.57,30.88,4,7,3,4,5,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
1,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
2,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
3,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
4,0,2,1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,63.12,7,12,5,5,12,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
5,0,0,1,0,0,1,1,1,3,11.58,2.67,82.35,0.01,11,0.38,4.57,30.88,4,7,3,4,5,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
6,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
7,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
8,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
9,0,2,1,0,0,1,1,1,9,29.44,3.75,414.05,0.04,29,0.27,23.0,110.41,10,19,8,6,13,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
10,0,2,1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,63.12,7,12,5,5,12,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
11,0,0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,3,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
12,0,2,1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,63.12,7,12,5,5,12,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
13,0,1,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,4,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
14,0,2,1,0,0,1,1,1,8,14.02,7.33,753.86,0.03,27,0.14,41.88,102.8,11,16,6,8,13,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
15,0,2,5,0,0,3,2,3,12,18.89,10.0,1888.7,0.06,43,0.1,104.93,188.87,15,28,9,12,16,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
16,0,2,5,0,0,3,2,3,12,18.89,10.0,1888.7,0.06,43,0.1,104.93,188.87,15,28,9,12,16,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
17,0,2,5,0,0,3,2,3,12,18.89,10.0,1888.7,0.06,43,0.1,104.93,188.87,15,28,9,12,16,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
18,0,2,1,0,0,1,1,1,10,27.26,5.2,737.24,0.05,34,0.19,40.96,141.78,13,21,10,8,16,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
19,0,6,11,0,1,6,6,5,26,36.3,11.38,4697.06,0.14,85,0.09,260.95,412.93,28,57,16,13,35,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
20,1,6,21,0,10,11,11,1,65,40.27,23.04,21378.61,0.31,171,0.04,1187.7,927.89,64,107,25,18,83,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
21,0,1,3,0,0,2,2,1,10,21.22,5.78,708.49,0.04,30,0.17,39.36,122.62,13,17,9,8,14,1.24719,5.02329,0.5449,2.27009,1.39409,0.87192,8.99493,0.04724,0.31619,1.04251,0.49473,0.80119,1.3766,2.57063,8.38851,0.3531,17.57138,10.1964
