,Defective,LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL
0,0,128,43,3,11,26,18,15,109.63,42.03,193686.35,1.54,666,0.02,10760.35,4607.96,255,411,91,30,131
1,0,35,11,0,1,7,6,1,55.65,17.14,16352.99,0.32,165,0.06,908.5,953.92,60,105,35,20,35
2,0,23,7,0,0,5,4,3,29.4,14.39,6090.84,0.14,89,0.07,338.38,423.18,31,58,14,13,23
3,0,52,18,0,0,10,10,5,80.76,27.14,59492.48,0.73,353,0.04,3305.14,2191.94,137,216,53,21,52
4,0,22,13,0,0,7,7,1,54.54,15.58,13243.53,0.28,153,0.06,735.75,849.85,55,98,30,17,22
5,0,44,11,0,11,7,5,1,42.06,32.72,45051.12,0.46,236,0.03,2502.84,1376.56,90,146,33,24,44
6,0,22,11,0,2,6,5,1,35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,43,85,22,20,22
7,0,17,7,0,2,4,4,1,33.69,16.2,8841.71,0.18,104,0.06,491.21,545.78,36,68,20,18,17
8,0,12,7,0,0,4,4,1,44.33,7.33,2383.85,0.11,70,0.14,132.44,325.07,22,48,15,10,12
9,0,28,11,0,5,6,6,1,44.43,18.41,15056.5,0.27,157,0.05,836.47,817.88,54,103,22,15,28
10,0,15,5,0,0,3,3,1,40.99,14.0,8034.06,0.19,111,0.07,446.34,573.86,44,67,22,14,15
11,0,21,5,0,0,3,3,1,45.77,15.0,10297.93,0.23,129,0.07,572.11,686.53,50,79,25,15,21
12,0,21,11,0,0,6,4,4,37.67,18.75,13244.88,0.24,131,0.05,735.83,706.39,50,81,24,18,21
13,0,103,43,0,4,22,17,12,70.89,48.94,169799.06,1.16,557,0.02,9433.28,3469.45,208,349,51,24,103
14,0,12,5,0,0,3,3,1,26.16,9.23,2229.05,0.08,52,0.11,123.84,241.48,20,32,13,12,12
15,0,8,3,0,0,2,2,1,18.67,7.71,1110.86,0.05,36,0.13,61.71,144.0,12,24,7,9,8
16,0,25,11,0,0,6,6,1,30.2,25.0,18875.0,0.25,151,0.04,1048.61,755.0,50,101,16,16,25
17,0,8,3,0,0,2,2,1,20.81,9.0,1685.67,0.06,42,0.11,93.65,187.3,15,27,10,12,8
18,0,4,3,0,0,2,2,1,16.32,4.67,355.35,0.03,20,0.21,19.74,76.15,7,13,6,8,4
