,Defective,LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL
0,0,3,7,14,0,4,1,1,14.3,28.78,11846.2,0.14,91,0.03,658.12,411.64,37,54,9,14,17
1,0,3,7,14,0,4,2,1,15.95,27.3,11891.1,0.15,95,0.04,660.62,435.57,39,56,10,14,17
2,0,1,7,4,0,4,1,1,8.07,7.0,395.31,0.02,17,0.14,21.96,56.47,6,11,3,7,5
3,0,1,3,1,0,2,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,2
4,0,1,3,1,14,2,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,2
5,0,2,3,5,0,2,2,1,7.13,13.5,1298.85,0.03,26,0.07,72.16,96.21,12,14,4,9,7
6,0,2,3,5,0,2,2,1,9.07,12.6,1439.18,0.04,30,0.08,79.95,114.22,14,16,5,9,7
7,0,2,3,0,0,2,1,1,10.8,3.33,120.0,0.01,12,0.3,6.67,36.0,4,8,3,5,2
8,0,2,3,0,0,2,1,1,10.8,3.33,120.0,0.01,12,0.3,6.67,36.0,4,8,3,5,2
9,0,2,3,0,0,2,1,1,10.8,3.33,120.0,0.01,12,0.3,6.67,36.0,4,8,3,5,2
10,0,4,7,26,1,4,4,4,31.4,18.47,10714.74,0.19,116,0.05,595.26,580.0,54,62,19,13,30
11,0,4,7,26,1,4,3,4,27.77,19.44,10500.0,0.18,108,0.05,583.33,540.0,50,58,18,14,30
12,0,4,7,21,1,4,4,4,22.24,20.53,9376.55,0.15,94,0.05,520.91,456.65,44,50,15,14,25
13,0,4,7,21,1,4,2,4,19.5,21.43,8952.56,0.14,86,0.05,497.36,417.79,40,46,14,15,25
14,0,2,3,6,0,2,2,1,9.91,11.2,1243.35,0.04,30,0.09,69.07,111.01,14,16,5,8,8
15,0,2,3,6,0,2,2,1,12.09,11.33,1553.4,0.05,36,0.09,86.3,137.06,17,19,6,8,8
16,0,2,3,6,0,2,1,1,8.79,7.88,544.86,0.02,20,0.13,30.27,69.19,9,11,4,7,8
17,0,2,3,10,0,2,2,1,32.65,10.67,3715.08,0.12,75,0.09,206.39,348.29,32,43,15,10,12
18,0,2,3,10,0,2,2,1,34.95,10.63,3945.43,0.12,79,0.09,219.19,371.33,34,45,16,10,12
19,0,1,5,12,0,3,2,1,27.66,13.75,5230.38,0.13,80,0.07,290.58,380.39,40,40,16,11,13
20,0,2,3,9,0,2,2,1,13.9,15.0,3127.44,0.07,50,0.07,173.75,208.5,24,26,8,10,11
21,0,2,3,9,0,2,2,1,15.84,15.56,3832.57,0.08,58,0.06,212.92,246.38,28,30,9,10,11
22,0,1,5,3,0,3,2,1,9.29,11.0,1124.05,0.03,25,0.09,62.45,102.19,12,13,6,11,4
23,0,1,5,3,0,3,2,1,11.02,10.21,1150.01,0.04,27,0.1,63.89,112.59,13,14,7,11,4
24,0,2,3,7,0,2,2,1,12.02,9.75,1142.77,0.04,30,0.1,63.49,117.21,13,17,6,9,9
25,0,2,3,7,0,2,2,1,15.5,8.57,1138.58,0.04,34,0.12,63.25,132.83,15,19,7,8,9
26,0,3,5,18,1,3,2,1,22.46,14.39,4653.68,0.11,68,0.07,258.54,323.33,31,37,14,13,21
27,0,3,5,18,1,3,2,1,19.43,16.14,5069.44,0.1,66,0.06,281.64,313.82,30,36,13,14,21
28,0,3,5,14,1,3,2,1,15.13,14.95,3381.36,0.08,50,0.07,187.85,226.18,23,27,10,13,17
29,0,3,5,14,1,3,1,1,14.37,14.67,3092.19,0.07,48,0.07,171.79,210.83,22,26,9,12,17
30,0,2,5,8,0,3,2,3,15.41,11.9,2182.44,0.06,40,0.08,121.25,183.4,17,23,10,14,10
31,0,2,5,7,0,3,2,3,13.81,12.44,2139.14,0.06,38,0.08,118.84,171.9,16,22,9,14,9
32,0,1,11,13,0,6,1,1,8.78,13.33,1560.0,0.04,39,0.08,86.67,117.0,16,23,3,5,14
33,0,1,11,13,0,6,4,1,10.33,15.75,2563.7,0.05,49,0.06,142.43,162.77,21,28,4,6,14
34,0,6,9,35,0,5,4,3,43.37,24.25,25506.03,0.35,199,0.04,1417.0,1051.8,97,102,26,13,41
35,0,6,9,35,0,5,4,3,45.29,24.8,27844.43,0.37,211,0.04,1546.91,1122.93,103,108,27,13,41
36,0,4,13,16,0,7,5,7,11.55,35.0,14143.26,0.13,92,0.03,785.74,404.09,35,57,7,14,20
37,0,4,13,16,0,7,7,7,14.12,29.25,12076.68,0.14,94,0.03,670.93,412.88,36,58,8,13,20
38,0,2,3,8,2,2,2,1,14.37,18.94,5158.22,0.09,63,0.05,286.57,272.28,31,32,9,11,10
39,0,2,3,8,2,2,2,1,16.21,18.15,5341.28,0.1,67,0.06,296.74,294.29,33,34,10,11,10
40,0,2,3,10,2,2,2,1,18.5,11.25,2341.67,0.07,49,0.09,130.09,208.15,25,24,10,9,12
41,0,2,3,10,2,2,2,1,20.75,11.45,2722.81,0.08,55,0.09,151.27,237.71,28,27,11,9,12
42,0,4,11,29,0,6,4,3,28.97,28.95,24283.0,0.28,161,0.03,1349.06,838.72,76,85,21,16,33
43,0,4,11,29,0,6,5,3,32.25,27.61,24598.68,0.3,171,0.04,1366.59,890.82,81,90,22,15,33
44,0,2,5,10,0,3,2,1,16.72,15.27,3900.84,0.09,55,0.07,216.71,255.41,24,31,11,14,12
45,0,2,5,10,0,3,2,1,18.2,15.75,4515.95,0.1,61,0.06,250.89,286.73,27,34,12,14,12
46,0,1,5,5,0,3,2,1,19.31,8.89,1525.99,0.06,42,0.11,84.78,171.67,20,22,9,8,6
47,0,1,5,5,0,3,3,1,21.72,9.6,2001.56,0.07,50,0.1,111.2,208.5,24,26,10,8,6
48,0,2,11,14,0,6,4,4,18.65,20.42,7773.35,0.13,81,0.05,431.85,380.74,35,46,12,14,16
49,0,2,11,14,0,6,3,4,16.23,21.14,7252.56,0.11,73,0.05,402.92,343.13,31,42,11,15,16
50,0,2,5,7,0,3,1,3,12.51,18.0,4052.52,0.08,53,0.06,225.14,225.14,21,32,7,12,9
51,0,2,5,7,0,3,2,3,13.51,17.87,4318.2,0.08,55,0.06,239.9,241.58,22,33,8,13,9
52,0,4,5,13,0,3,3,1,15.13,20.3,6236.01,0.1,67,0.05,346.44,307.19,29,38,10,14,17
53,0,4,5,13,0,3,3,1,16.59,21.0,7314.07,0.12,75,0.05,406.34,348.29,33,42,11,14,17
54,0,1,5,3,0,3,2,1,10.57,12.86,1747.72,0.05,32,0.08,97.1,135.93,15,17,7,12,4
55,0,1,7,5,0,4,2,4,7.46,11.0,902.49,0.03,21,0.09,50.14,82.04,8,13,4,11,6
56,0,1,3,1,0,2,2,1,6.75,6.67,299.82,0.01,13,0.15,16.66,44.97,5,8,3,8,2
57,0,3,7,9,0,4,2,3,9.49,14.0,1859.68,0.04,34,0.07,103.32,132.83,14,20,5,10,12
58,0,1,3,4,0,2,2,1,14.13,8.57,1038.11,0.04,31,0.12,57.67,121.11,15,16,7,8,5
59,0,4,7,16,0,4,3,3,23.28,16.67,6466.18,0.13,87,0.06,359.23,387.97,40,47,12,10,20
60,0,2,5,12,0,3,1,1,11.04,18.86,3925.09,0.07,49,0.05,218.06,208.15,22,27,7,12,14
61,0,3,11,19,3,6,2,5,17.87,23.79,10108.93,0.14,85,0.04,561.61,425.0,37,48,14,18,22
62,0,3,11,19,3,6,1,5,17.09,23.54,9471.05,0.13,82,0.04,526.17,402.37,36,46,13,17,22
63,0,3,13,20,4,7,1,7,15.01,26.31,10391.54,0.13,79,0.04,577.31,395.0,36,43,13,19,23
64,0,3,13,20,4,7,2,7,15.78,26.43,11025.26,0.14,82,0.04,612.51,417.17,37,45,14,20,23
65,0,1,3,10,0,2,2,1,29.37,8.65,2199.7,0.08,57,0.12,122.21,254.19,25,32,13,9,11
66,0,7,15,38,0,8,4,4,28.74,34.11,33446.1,0.33,183,0.03,1858.12,980.43,79,104,22,19,45
67,0,1,3,6,1,2,2,1,26.87,6.36,1087.97,0.06,41,0.16,60.44,170.97,20,21,11,7,7
68,0,2,3,9,0,2,2,1,25.37,11.25,3210.79,0.1,64,0.09,178.38,285.4,27,37,12,10,11
69,0,2,3,9,0,2,2,1,27.58,11.15,3430.95,0.1,68,0.09,190.61,307.6,29,39,13,10,11
70,0,3,3,12,0,2,2,1,23.84,19.04,8641.77,0.15,99,0.05,480.1,453.91,45,54,13,11,15
71,0,3,3,14,0,2,2,1,25.77,19.64,9942.83,0.17,109,0.05,552.38,506.18,50,59,14,11,17
72,0,1,3,2,0,2,2,1,10.24,5.6,321.21,0.02,16,0.18,17.85,57.36,8,8,5,7,3
73,0,1,3,2,0,2,2,1,12.69,5.25,349.69,0.02,18,0.19,19.43,66.61,9,9,6,7,3
74,0,2,3,7,0,2,1,1,7.69,11.67,1046.41,0.03,27,0.09,58.13,89.69,10,17,3,7,9
