Defective,LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL
0,23,11,3,0,6,3,1,41.87,14.17,8403.03,0.2,110,0.07,466.83,593.15,51,59,27,15,26
0,3,3,1,3,2,2,1,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,4
0,34,19,5,12,11,9,3,37.31,23.86,21248.49,0.3,152,0.04,1180.47,890.41,63,89,33,25,39
0,36,17,3,12,10,3,3,31.44,19.3,11716.29,0.2,107,0.05,650.91,606.95,47,60,28,23,39
1,10,3,1,0,2,2,1,31.9,6.9,1518.54,0.07,48,0.14,84.36,220.08,23,25,15,9,11
0,16,7,4,7,4,4,1,46.83,14.48,9823.41,0.23,125,0.07,545.75,678.28,60,65,29,14,20
0,8,5,2,4,3,3,1,17.81,11.08,2188.05,0.07,42,0.09,121.56,197.42,19,23,12,14,10
0,10,5,1,0,3,2,1,32.98,6.18,1260.48,0.07,48,0.16,70.03,203.9,17,31,11,8,11
0,23,11,7,6,6,1,4,36.79,15.58,8933.27,0.19,107,0.06,496.29,573.26,44,63,24,17,30
0,40,11,8,15,6,3,1,56.47,17.4,17102.11,0.33,180,0.06,950.12,982.7,83,97,31,13,48
0,13,5,0,0,3,3,1,23.44,7.33,1260.57,0.06,38,0.14,70.03,171.9,16,22,12,11,13
0,39,8,0,1,6,6,1,55.83,18.8,19738.62,0.35,186,0.05,1096.59,1049.76,73,113,33,17,39
0,28,7,1,3,4,4,4,45.13,11.11,5572.06,0.17,93,0.09,309.56,501.49,40,53,27,15,29
0,41,3,4,9,2,1,1,135.48,9.97,13474.88,0.45,249,0.1,748.6,1351.14,123,126,37,6,45
0,8,3,0,0,2,2,1,18.53,9.0,1501.17,0.06,40,0.11,83.4,166.8,18,22,9,9,8
0,16,3,0,5,2,2,1,57.32,10.19,5954.36,0.19,113,0.1,330.8,584.2,53,60,26,10,16
0,8,3,0,0,2,2,1,18.53,9.0,1501.17,0.06,40,0.11,83.4,166.8,18,22,9,9,8
0,8,3,0,0,2,2,1,18.53,9.0,1501.17,0.06,40,0.11,83.4,166.8,18,22,9,9,8
0,8,3,0,0,2,2,1,18.53,9.0,1501.17,0.06,40,0.11,83.4,166.8,18,22,9,9,8
0,12,5,1,1,3,2,1,25.16,11.2,3155.74,0.09,58,0.09,175.32,281.76,24,34,15,14,13
1,71,25,4,16,13,10,5,70.93,18.61,24562.78,0.44,210,0.05,1364.6,1319.93,89,121,55,23,75
0,13,5,1,9,3,2,1,30.78,10.5,3393.02,0.11,63,0.1,188.5,323.14,28,35,20,15,14
0,397,7,0,2,4,1,1,1535.48,11.07,188118.17,5.67,1916,0.09,10451.01,16995.62,1129,787,459,9,397
0,817,55,0,51,28,27,27,1349.98,39.94,2153049.88,17.97,5580,0.03,119613.86,53912.72,2733,2847,787,23,817
0,8,5,0,0,3,3,1,9.42,17.0,2723.1,0.05,41,0.06,151.28,160.18,17,24,5,10,8
0,5,3,0,0,2,2,1,13.67,5.71,446.5,0.03,20,0.18,24.81,78.14,10,10,7,8,5
1,20,5,1,13,3,2,1,50.44,8.5,3644.57,0.14,85,0.12,202.48,428.77,34,51,22,11,21
1,16,5,1,10,3,3,1,54.41,6.07,2001.52,0.11,66,0.16,111.2,330.0,31,35,23,9,17
1,2,25,13,0,13,1,1,102.19,7.18,5262.9,0.24,136,0.14,292.38,733.36,61,75,34,8,15
1,2,17,17,0,9,1,1,76.91,15.85,19327.77,0.41,222,0.06,1073.76,1219.19,98,124,34,11,19
0,2,5,10,0,3,1,1,59.38,12.02,8577.83,0.24,136,0.08,476.55,713.72,59,77,27,11,12
1,2,59,31,0,30,1,1,185.52,11.06,22714.18,0.68,317,0.09,1261.9,2052.81,142,175,77,12,33
0,2,43,25,0,22,1,1,112.1,18.1,36742.62,0.68,345,0.06,2041.26,2029.51,158,187,48,11,27
