Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
NASA,MC1,68 (0.73 %),0.73,EASC-APosteriori,0.006,0.476,0.07
NASA,MC1,68 (0.73 %),0.73,EASC-APriori,0.012,0.429,0.448
NASA,MC1,68 (0.73 %),0.73,EASC-DESKNN,0.024,0.645,0.074
NASA,MC1,68 (0.73 %),0.73,EASC-DESP,0.019,0.629,0.07
NASA,MC1,68 (0.73 %),0.73,EASC-KNE,0.002,0.49,0.217
NASA,MC1,68 (0.73 %),0.73,EASC-KNOP,0.005,0.305,0.805
NASA,MC1,68 (0.73 %),0.73,EASC-KNU,0.021,0.613,0.095
NASA,MC1,68 (0.73 %),0.73,EASC-LCA,0.0,0.139,0.167
NASA,MC1,68 (0.73 %),0.73,EASC-MCB,0.013,0.453,0.41
NASA,MC1,68 (0.73 %),0.73,EASC-OLA,0.005,0.215,0.811
NASA,PC2,16 (1.01 %),1.01,EASC-APosteriori,0.028,0.463,0.079
NASA,PC2,16 (1.01 %),1.01,EASC-APriori,0.032,0.581,0.224
NASA,PC2,16 (1.01 %),1.01,EASC-DESKNN,0.0,0.603,0.019
NASA,PC2,16 (1.01 %),1.01,EASC-DESP,0.0,0.566,0.003
NASA,PC2,16 (1.01 %),1.01,EASC-KNE,0.0,0.59,0.019
NASA,PC2,16 (1.01 %),1.01,EASC-KNOP,0.062,0.567,0.03
NASA,PC2,16 (1.01 %),1.01,EASC-KNU,0.0,0.619,0.005
NASA,PC2,16 (1.01 %),1.01,EASC-LCA,0.027,0.554,0.272
NASA,PC2,16 (1.01 %),1.01,EASC-MCB,0.007,0.635,0.169
NASA,PC2,16 (1.01 %),1.01,EASC-OLA,0.02,0.531,0.375
NASA,PC5,503 (2.96 %),2.96,EASC-APosteriori,0.03,0.418,0.159
NASA,PC5,503 (2.96 %),2.96,EASC-APriori,0.047,0.47,0.373
NASA,PC5,503 (2.96 %),2.96,EASC-DESKNN,0.034,0.472,0.1
NASA,PC5,503 (2.96 %),2.96,EASC-DESP,0.033,0.581,0.012
NASA,PC5,503 (2.96 %),2.96,EASC-KNE,0.034,0.48,0.112
NASA,PC5,503 (2.96 %),2.96,EASC-KNOP,0.096,0.524,0.249
NASA,PC5,503 (2.96 %),2.96,EASC-KNU,0.062,0.46,0.008
NASA,PC5,503 (2.96 %),2.96,EASC-LCA,0.023,0.245,0.403
NASA,PC5,503 (2.96 %),2.96,EASC-MCB,0.052,0.425,0.32
NASA,PC5,503 (2.96 %),2.96,EASC-OLA,0.046,0.399,0.618
NASA,PC1,61 (8.04 %),8.04,EASC-APosteriori,0.2,0.535,0.054
NASA,PC1,61 (8.04 %),8.04,EASC-APriori,0.165,0.456,0.12
NASA,PC1,61 (8.04 %),8.04,EASC-DESKNN,0.093,0.698,0.03
NASA,PC1,61 (8.04 %),8.04,EASC-DESP,0.104,0.721,0.017
NASA,PC1,61 (8.04 %),8.04,EASC-KNE,0.099,0.716,0.023
NASA,PC1,61 (8.04 %),8.04,EASC-KNOP,0.183,0.537,0.069
NASA,PC1,61 (8.04 %),8.04,EASC-KNU,0.156,0.612,0.014
NASA,PC1,61 (8.04 %),8.04,EASC-LCA,0.149,0.43,0.145
NASA,PC1,61 (8.04 %),8.04,EASC-MCB,0.188,0.533,0.106
NASA,PC1,61 (8.04 %),8.04,EASC-OLA,0.181,0.476,0.172
NASA,MW1,27 (10.23 %),10.23,EASC-APosteriori,0.216,0.52,0.025
NASA,MW1,27 (10.23 %),10.23,EASC-APriori,0.2,0.503,0.114
NASA,MW1,27 (10.23 %),10.23,EASC-DESKNN,0.062,0.58,0.017
NASA,MW1,27 (10.23 %),10.23,EASC-DESP,0.0,0.594,0.004
NASA,MW1,27 (10.23 %),10.23,EASC-KNE,0.062,0.577,0.017
NASA,MW1,27 (10.23 %),10.23,EASC-KNOP,0.158,0.487,0.034
