Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-APosteriori,0.109,0.587,0.193
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-APriori,0.083,0.607,0.266
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-DESKNN,0.115,0.668,0.148
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-DESP,0.111,0.67,0.154
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-KNE,0.111,0.663,0.154
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-KNOP,0.091,0.632,0.195
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-KNU,0.111,0.632,0.154
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-LCA,0.097,0.624,0.222
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-MCB,0.073,0.585,0.252
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-OLA,0.077,0.589,0.287
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-APosteriori,0.222,0.553,0.083
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-APriori,0.219,0.635,0.135
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-DESKNN,0.222,0.712,0.083
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-DESP,0.333,0.807,0.037
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-KNE,0.186,0.724,0.08
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-KNOP,0.25,0.661,0.089
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-KNU,0.345,0.67,0.034
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-LCA,0.136,0.625,0.129
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-MCB,0.212,0.817,0.141
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-OLA,0.198,0.639,0.184
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-APosteriori,0.128,0.528,0.124
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-APriori,0.095,0.506,0.196
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-DESKNN,0.111,0.688,0.08
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-DESP,0.256,0.774,0.08
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-KNE,0.2,0.703,0.089
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-KNOP,0.19,0.61,0.098
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-KNU,0.238,0.692,0.093
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-LCA,0.098,0.447,0.187
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-MCB,0.143,0.667,0.16
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-OLA,0.116,0.449,0.218
PROMISE,e_learning,5 (7.81 %),7.81,EASC-APosteriori,0.182,0.883,0.085
PROMISE,e_learning,5 (7.81 %),7.81,EASC-APriori,0.211,0.798,0.203
PROMISE,e_learning,5 (7.81 %),7.81,EASC-DESKNN,0.0,0.78,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-DESP,0.0,0.8,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-KNE,0.0,0.766,0.034
PROMISE,e_learning,5 (7.81 %),7.81,EASC-KNOP,0.0,0.753,0.017
PROMISE,e_learning,5 (7.81 %),7.81,EASC-KNU,0.0,0.881,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-LCA,0.286,0.797,0.119
PROMISE,e_learning,5 (7.81 %),7.81,EASC-MCB,0.182,0.831,0.085
PROMISE,e_learning,5 (7.81 %),7.81,EASC-OLA,0.211,0.766,0.203
