Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-APosteriori,0.435,0.585,0.27
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-APriori,0.478,0.599,0.317
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-DESKNN,0.302,0.66,0.16
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-DESP,0.271,0.662,0.103
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNE,0.281,0.628,0.146
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNOP,0.478,0.658,0.327
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNU,0.321,0.66,0.139
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-LCA,0.482,0.618,0.32
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-MCB,0.414,0.612,0.249
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-OLA,0.478,0.616,0.327
RELINK,openintents,22 (39.29 %),39.29,EASC-APosteriori,0.667,0.714,0.176
RELINK,openintents,22 (39.29 %),39.29,EASC-APriori,0.698,0.716,0.176
RELINK,openintents,22 (39.29 %),39.29,EASC-DESKNN,0.514,0.832,0.118
RELINK,openintents,22 (39.29 %),39.29,EASC-DESP,0.571,0.86,0.088
RELINK,openintents,22 (39.29 %),39.29,EASC-KNE,0.529,0.822,0.088
RELINK,openintents,22 (39.29 %),39.29,EASC-KNOP,0.698,0.853,0.176
RELINK,openintents,22 (39.29 %),39.29,EASC-KNU,0.556,0.85,0.118
RELINK,openintents,22 (39.29 %),39.29,EASC-LCA,0.698,0.753,0.176
RELINK,openintents,22 (39.29 %),39.29,EASC-MCB,0.615,0.747,0.147
RELINK,openintents,22 (39.29 %),39.29,EASC-OLA,0.698,0.753,0.176
RELINK,Apache,98 (50.52 %),50.52,EASC-APosteriori,0.709,0.625,0.479
RELINK,Apache,98 (50.52 %),50.52,EASC-APriori,0.684,0.572,0.521
RELINK,Apache,98 (50.52 %),50.52,EASC-DESKNN,0.674,0.71,0.208
RELINK,Apache,98 (50.52 %),50.52,EASC-DESP,0.713,0.741,0.333
RELINK,Apache,98 (50.52 %),50.52,EASC-KNE,0.731,0.73,0.281
RELINK,Apache,98 (50.52 %),50.52,EASC-KNOP,0.7,0.697,0.448
RELINK,Apache,98 (50.52 %),50.52,EASC-KNU,0.725,0.74,0.333
RELINK,Apache,98 (50.52 %),50.52,EASC-LCA,0.688,0.597,0.51
RELINK,Apache,98 (50.52 %),50.52,EASC-MCB,0.634,0.664,0.438
RELINK,Apache,98 (50.52 %),50.52,EASC-OLA,0.67,0.571,0.552
