Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-DT,0.2553,0.6078,0.1595
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-LR,0.34,0.5982,0.0303
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-NB,0.3019,0.6798,0.0415
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-RBF,0.3564,0.5996,0.0303
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-RF,0.3133,0.7617,0.0096
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-SVM,0.0779,0.6082,0.0159
AEEEM,mylyn,245 (13.16 %),13.16,EASC-DT,0.227,0.5439,0.2591
AEEEM,mylyn,245 (13.16 %),13.16,EASC-LR,0.315,0.6704,0.0668
AEEEM,mylyn,245 (13.16 %),13.16,EASC-NB,0.249,0.5535,0.3878
AEEEM,mylyn,245 (13.16 %),13.16,EASC-RBF,0.3142,0.6879,0.1837
AEEEM,mylyn,245 (13.16 %),13.16,EASC-RF,0.2865,0.6727,0.0371
AEEEM,mylyn,245 (13.16 %),13.16,EASC-SVM,0.0541,0.6069,0.0043
AEEEM,pde,209 (13.96 %),13.96,EASC-DT,0.259,0.5652,0.2135
AEEEM,pde,209 (13.96 %),13.96,EASC-LR,0.3539,0.6742,0.0761
AEEEM,pde,209 (13.96 %),13.96,EASC-NB,0.3366,0.7206,0.1025
AEEEM,pde,209 (13.96 %),13.96,EASC-RBF,0.3464,0.6598,0.0675
AEEEM,pde,209 (13.96 %),13.96,EASC-RF,0.375,0.7361,0.0497
AEEEM,pde,209 (13.96 %),13.96,EASC-SVM,0.0721,0.6539,0.0039
AEEEM,eclipse,206 (20.66 %),20.66,EASC-DT,0.3792,0.6048,0.2314
AEEEM,eclipse,206 (20.66 %),20.66,EASC-LR,0.4497,0.7196,0.2756
AEEEM,eclipse,206 (20.66 %),20.66,EASC-NB,0.5351,0.7745,0.3072
AEEEM,eclipse,206 (20.66 %),20.66,EASC-RBF,0.492,0.6785,0.3363
AEEEM,eclipse,206 (20.66 %),20.66,EASC-RF,0.5094,0.819,0.0392
AEEEM,eclipse,206 (20.66 %),20.66,EASC-SVM,0.141,0.7498,0.0063
AEEEM,equinox,129 (39.81 %),39.81,EASC-DT,0.3488,0.5829,0.0667
AEEEM,equinox,129 (39.81 %),39.81,EASC-LR,0.3647,0.4232,0.0513
AEEEM,equinox,129 (39.81 %),39.81,EASC-NB,0.4343,0.7382,0.041
AEEEM,equinox,129 (39.81 %),39.81,EASC-RBF,0.3038,0.6133,0.0256
AEEEM,equinox,129 (39.81 %),39.81,EASC-RF,0.2416,0.7204,0.0103
AEEEM,equinox,129 (39.81 %),39.81,EASC-SVM,0.1304,0.566,0.0
