Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
NASA,MC1,68 (0.73 %),0.73,EASC-KNE,0.0,0.4912,0.1616
NASA,MC1,68 (0.73 %),0.73,EASC-KNOP,0.0119,0.6072,0.8824
NASA,MC1,68 (0.73 %),0.73,EASC-KNU,0.0,0.5707,0.0327
NASA,MC1,68 (0.73 %),0.73,EASC-LCA,0.0035,0.1715,0.1786
NASA,MC1,68 (0.73 %),0.73,EASC-MCB,0.0166,0.4912,0.3827
NASA,MC1,68 (0.73 %),0.73,EASC-METADES,0.0117,0.3288,0.8813
NASA,MC1,68 (0.73 %),0.73,EASC-OLA,0.0118,0.4154,0.8868
NASA,MC1,68 (0.73 %),0.73,EASC-RANK,0.0118,0.4154,0.8868
NASA,PC2,16 (1.01 %),1.01,EASC-KNE,0.0328,0.6039,0.027999999999999997
NASA,PC2,16 (1.01 %),1.01,EASC-KNOP,0.0522,0.6154,0.0612
NASA,PC2,16 (1.01 %),1.01,EASC-KNU,0.0833,0.711,0.0045
NASA,PC2,16 (1.01 %),1.01,EASC-LCA,0.032,0.5997,0.2645
NASA,PC2,16 (1.01 %),1.01,EASC-MCB,0.0543,0.6535,0.1498
NASA,PC2,16 (1.01 %),1.01,EASC-METADES,0.0522,0.5877,0.0612
NASA,PC2,16 (1.01 %),1.01,EASC-OLA,0.0232,0.5729,0.3703
NASA,PC2,16 (1.01 %),1.01,EASC-RANK,0.0232,0.5729,0.3703
NASA,PC5,503 (2.96 %),2.96,EASC-KNE,0.0327,0.4998,0.1302
NASA,PC5,503 (2.96 %),2.96,EASC-KNOP,0.0826,0.4579,0.3481
NASA,PC5,503 (2.96 %),2.96,EASC-KNU,0.0222,0.44299999999999995,0.115
NASA,PC5,503 (2.96 %),2.96,EASC-LCA,0.0251,0.2103,0.3803
NASA,PC5,503 (2.96 %),2.96,EASC-MCB,0.0523,0.5038,0.3668
NASA,PC5,503 (2.96 %),2.96,EASC-METADES,0.0826,0.601,0.3481
NASA,PC5,503 (2.96 %),2.96,EASC-OLA,0.0519,0.4,0.5912
NASA,PC5,503 (2.96 %),2.96,EASC-RANK,0.0519,0.4,0.5912
NASA,PC1,61 (8.04 %),8.04,EASC-KNE,0.1818,0.7593,0.0129
NASA,PC1,61 (8.04 %),8.04,EASC-KNOP,0.2326,0.6073,0.0215
NASA,PC1,61 (8.04 %),8.04,EASC-KNU,0.1143,0.6512,0.0072
NASA,PC1,61 (8.04 %),8.04,EASC-LCA,0.1951,0.4834,0.1246
NASA,PC1,61 (8.04 %),8.04,EASC-MCB,0.2203,0.6592,0.063
NASA,PC1,61 (8.04 %),8.04,EASC-METADES,0.2381,0.7503,0.0186
NASA,PC1,61 (8.04 %),8.04,EASC-OLA,0.2366,0.5521,0.1476
NASA,PC1,61 (8.04 %),8.04,EASC-RANK,0.2366,0.5521,0.1476
NASA,MW1,27 (10.23 %),10.23,EASC-KNE,0.0,0.5518,0.0127
NASA,MW1,27 (10.23 %),10.23,EASC-KNOP,0.1053,0.4614,0.038
NASA,MW1,27 (10.23 %),10.23,EASC-KNU,0.0,0.4934,0.0
NASA,MW1,27 (10.23 %),10.23,EASC-LCA,0.1579,0.4975,0.1814
NASA,MW1,27 (10.23 %),10.23,EASC-MCB,0.1034,0.5444,0.1181
NASA,MW1,27 (10.23 %),10.23,EASC-METADES,0.1053,0.5408,0.038
NASA,MW1,27 (10.23 %),10.23,EASC-OLA,0.1304,0.4555,0.2489
NASA,MW1,27 (10.23 %),10.23,EASC-RANK,0.1304,0.4555,0.2489
NASA,CM1,42 (12.21 %),12.21,EASC-KNE,0.0,0.5272,0.0
NASA,CM1,42 (12.21 %),12.21,EASC-KNOP,0.1878,0.4788,0.40399999999999997
NASA,CM1,42 (12.21 %),12.21,EASC-KNU,0.0,0.5281,0.0
NASA,CM1,42 (12.21 %),12.21,EASC-LCA,0.19399999999999998,0.4618,0.2616
NASA,CM1,42 (12.21 %),12.21,EASC-MCB,0.2121,0.5292,0.2517
NASA,CM1,42 (12.21 %),12.21,EASC-METADES,0.185,0.5589,0.3808
NASA,CM1,42 (12.21 %),12.21,EASC-OLA,0.1878,0.45899999999999996,0.40399999999999997
NASA,CM1,42 (12.21 %),12.21,EASC-RANK,0.1878,0.45899999999999996,0.40399999999999997
NASA,PC3,140 (12.44 %),12.44,EASC-KNE,0.1078,0.6981,0.0538
NASA,PC3,140 (12.44 %),12.44,EASC-KNOP,0.2311,0.6121,0.0832
NASA,PC3,140 (12.44 %),12.44,EASC-KNU,0.1243,0.6557,0.0264
NASA,PC3,140 (12.44 %),12.44,EASC-LCA,0.2363,0.5816,0.1838
NASA,PC3,140 (12.44 %),12.44,EASC-MCB,0.2458,0.624,0.1259
NASA,PC3,140 (12.44 %),12.44,EASC-METADES,0.18100000000000002,0.6895,0.0721
NASA,PC3,140 (12.44 %),12.44,EASC-OLA,0.2439,0.5841,0.2234
NASA,PC3,140 (12.44 %),12.44,EASC-RANK,0.2439,0.5843,0.2234
NASA,KC3,36 (18.0 %),18.0,EASC-KNE,0.0968,0.5025,0.1402
NASA,KC3,36 (18.0 %),18.0,EASC-KNOP,0.26899999999999996,0.5659,0.6829
NASA,KC3,36 (18.0 %),18.0,EASC-KNU,0.0968,0.5574,0.1402
NASA,KC3,36 (18.0 %),18.0,EASC-LCA,0.2535,0.4992,0.1585
NASA,KC3,36 (18.0 %),18.0,EASC-MCB,0.2261,0.56,0.4024
NASA,KC3,36 (18.0 %),18.0,EASC-METADES,0.26899999999999996,0.5659,0.6829
NASA,KC3,36 (18.0 %),18.0,EASC-OLA,0.26899999999999996,0.478,0.6829
NASA,KC3,36 (18.0 %),18.0,EASC-RANK,0.26899999999999996,0.478,0.6829
NASA,MC2,44 (34.65 %),34.65,EASC-KNE,0.08,0.5134,0.0482
NASA,MC2,44 (34.65 %),34.65,EASC-KNOP,0.3704,0.5149,0.5301
NASA,MC2,44 (34.65 %),34.65,EASC-KNU,0.1887,0.503,0.0482
NASA,MC2,44 (34.65 %),34.65,EASC-LCA,0.3797,0.499,0.24100000000000002
