Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-KNE,0.2338,0.7154,0.0064
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-KNOP,0.336,0.6522,0.0638
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-KNU,0.2791,0.6725,0.0159
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-LCA,0.2517,0.5887,0.0973
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-MCB,0.3252,0.6823,0.0622
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-METADES,0.34,0.7052,0.0303
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-OLA,0.2722,0.5995,0.1308
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-RANK,0.2722,0.5995,0.1308
AEEEM,mylyn,245 (13.16 %),13.16,EASC-KNE,0.2417,0.6342,0.0284
AEEEM,mylyn,245 (13.16 %),13.16,EASC-KNOP,0.2324,0.5948,0.1589
AEEEM,mylyn,245 (13.16 %),13.16,EASC-KNU,0.2779,0.6464,0.0439
AEEEM,mylyn,245 (13.16 %),13.16,EASC-LCA,0.2518,0.5474,0.1534
AEEEM,mylyn,245 (13.16 %),13.16,EASC-MCB,0.2285,0.5671,0.1602
AEEEM,mylyn,245 (13.16 %),13.16,EASC-METADES,0.2328,0.6381,0.1583
AEEEM,mylyn,245 (13.16 %),13.16,EASC-OLA,0.2409,0.5402,0.2684
AEEEM,mylyn,245 (13.16 %),13.16,EASC-RANK,0.2409,0.5402,0.2684
AEEEM,pde,209 (13.96 %),13.96,EASC-KNE,0.2973,0.6891,0.0334
AEEEM,pde,209 (13.96 %),13.96,EASC-KNOP,0.3102,0.6204,0.0745
AEEEM,pde,209 (13.96 %),13.96,EASC-KNU,0.3303,0.6843,0.0497
AEEEM,pde,209 (13.96 %),13.96,EASC-LCA,0.2781,0.57,0.1646
AEEEM,pde,209 (13.96 %),13.96,EASC-MCB,0.3294,0.6442,0.1095
AEEEM,pde,209 (13.96 %),13.96,EASC-METADES,0.3134,0.6922,0.0675
AEEEM,pde,209 (13.96 %),13.96,EASC-OLA,0.2734,0.5576,0.2104
AEEEM,pde,209 (13.96 %),13.96,EASC-RANK,0.2734,0.5576,0.2104
AEEEM,eclipse,206 (20.66 %),20.66,EASC-KNE,0.3968,0.7176,0.1176
AEEEM,eclipse,206 (20.66 %),20.66,EASC-KNOP,0.4138,0.6906,0.1757
AEEEM,eclipse,206 (20.66 %),20.66,EASC-KNU,0.5035,0.7305,0.1454
AEEEM,eclipse,206 (20.66 %),20.66,EASC-LCA,0.3558,0.5001,0.1719
AEEEM,eclipse,206 (20.66 %),20.66,EASC-MCB,0.4362,0.6305,0.1656
AEEEM,eclipse,206 (20.66 %),20.66,EASC-METADES,0.4147,0.7357,0.1745
AEEEM,eclipse,206 (20.66 %),20.66,EASC-OLA,0.3702,0.4907,0.2516
AEEEM,eclipse,206 (20.66 %),20.66,EASC-RANK,0.3702,0.4907,0.2516
AEEEM,equinox,129 (39.81 %),39.81,EASC-KNE,0.2055,0.5899,0.0103
AEEEM,equinox,129 (39.81 %),39.81,EASC-KNOP,0.2564,0.501,0.0359
AEEEM,equinox,129 (39.81 %),39.81,EASC-KNU,0.2667,0.4991,0.0051
AEEEM,equinox,129 (39.81 %),39.81,EASC-LCA,0.3171,0.4305,0.0462
AEEEM,equinox,129 (39.81 %),39.81,EASC-MCB,0.293,0.4979,0.0256
AEEEM,equinox,129 (39.81 %),39.81,EASC-METADES,0.2105,0.6041,0.0359
AEEEM,equinox,129 (39.81 %),39.81,EASC-OLA,0.3626,0.4370000000000001,0.0564
AEEEM,equinox,129 (39.81 %),39.81,EASC-RANK,0.3626,0.4370000000000001,0.0564
