Dataset,Project,Deffects (%),Percent,DS,F1,AUC,PF
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNE,0.224,0.62,0.089
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNOP,0.473,0.639,0.327
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-KNU,0.273,0.64,0.121
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-LCA,0.476,0.614,0.32
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-MCB,0.376,0.601,0.21
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-METADES,0.472,0.642,0.306
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-OLA,0.473,0.612,0.327
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-RANK,0.473,0.612,0.327
RELINK,openintents,22 (39.29 %),39.29,EASC-KNE,0.529,0.774,0.088
RELINK,openintents,22 (39.29 %),39.29,EASC-KNOP,0.585,0.811,0.206
RELINK,openintents,22 (39.29 %),39.29,EASC-KNU,0.595,0.818,0.118
RELINK,openintents,22 (39.29 %),39.29,EASC-LCA,0.6,0.678,0.176
RELINK,openintents,22 (39.29 %),39.29,EASC-MCB,0.579,0.623,0.147
RELINK,openintents,22 (39.29 %),39.29,EASC-METADES,0.585,0.806,0.206
RELINK,openintents,22 (39.29 %),39.29,EASC-OLA,0.585,0.67,0.206
RELINK,openintents,22 (39.29 %),39.29,EASC-RANK,0.585,0.67,0.206
RELINK,Apache,98 (50.52 %),50.52,EASC-KNE,0.727,0.744,0.292
RELINK,Apache,98 (50.52 %),50.52,EASC-KNOP,0.71,0.73,0.531
RELINK,Apache,98 (50.52 %),50.52,EASC-KNU,0.762,0.759,0.333
RELINK,Apache,98 (50.52 %),50.52,EASC-LCA,0.708,0.616,0.5
RELINK,Apache,98 (50.52 %),50.52,EASC-MCB,0.654,0.689,0.458
RELINK,Apache,98 (50.52 %),50.52,EASC-METADES,0.728,0.76,0.417
RELINK,Apache,98 (50.52 %),50.52,EASC-OLA,0.696,0.593,0.542
RELINK,Apache,98 (50.52 %),50.52,EASC-RANK,0.696,0.593,0.542
