Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
NASA,MC1,68 (0.73 %),0.73,EASC-DT,0.0073,0.2844,0.8576
NASA,MC1,68 (0.73 %),0.73,EASC-LR,0.0,0.1027,0.0002
NASA,MC1,68 (0.73 %),0.73,EASC-NB,0.0351,0.8097,0.3573
NASA,MC1,68 (0.73 %),0.73,EASC-RBF,0.0,0.7843,0.0
NASA,MC1,68 (0.73 %),0.73,EASC-RF,0.0079,0.3464,0.7906
NASA,MC1,68 (0.73 %),0.73,EASC-SVM,0.0638,0.8826,0.0025
NASA,PC2,16 (1.01 %),1.01,EASC-DT,0.0289,0.5708,0.2945
NASA,PC2,16 (1.01 %),1.01,EASC-LR,0.0,0.0951,0.0
NASA,PC2,16 (1.01 %),1.01,EASC-NB,0.1,0.8887,0.0261
NASA,PC2,16 (1.01 %),1.01,EASC-RBF,0.0556,0.8124,0.0121
NASA,PC2,16 (1.01 %),1.01,EASC-RF,0.027,0.7027,0.0363
NASA,PC2,16 (1.01 %),1.01,EASC-SVM,0.0,0.6509,0.0006
NASA,PC5,503 (2.96 %),2.96,EASC-DT,0.0731,0.5953,0.6244
NASA,PC5,503 (2.96 %),2.96,EASC-LR,0.1245,0.1144,0.0005
NASA,PC5,503 (2.96 %),2.96,EASC-NB,0.4012,0.9517,0.0656
NASA,PC5,503 (2.96 %),2.96,EASC-RBF,0.0576,0.3368,0.9949
NASA,PC5,503 (2.96 %),2.96,EASC-RF,0.0484,0.6981,0.2066
NASA,PC5,503 (2.96 %),2.96,EASC-SVM,0.0,0.9444,0.0
NASA,PC1,61 (8.04 %),8.04,EASC-DT,0.2474,0.6182,0.1562
NASA,PC1,61 (8.04 %),8.04,EASC-LR,0.1961,0.3953,0.0444
NASA,PC1,61 (8.04 %),8.04,EASC-NB,0.3129,0.7275,0.0903
NASA,PC1,61 (8.04 %),8.04,EASC-RBF,0.2975,0.6684,0.0602
NASA,PC1,61 (8.04 %),8.04,EASC-RF,0.1957,0.8009,0.0315
NASA,PC1,61 (8.04 %),8.04,EASC-SVM,0.0,0.6229,0.0029
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-DT,0.2553,0.6078,0.1595
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-LR,0.34,0.5982,0.0303
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-NB,0.3019,0.6798,0.0415
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-RBF,0.3564,0.5996,0.0303
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-RF,0.3133,0.7617,0.0096
AEEEM,lucene_aeeem,64 (9.26 %),9.26,EASC-SVM,0.0779,0.6082,0.0159
NASA,MW1,27 (10.23 %),10.23,EASC-DT,0.172,0.5243,0.2447
NASA,MW1,27 (10.23 %),10.23,EASC-LR,0.0,0.3043,0.0042
NASA,MW1,27 (10.23 %),10.23,EASC-NB,0.3,0.7441,0.0295
NASA,MW1,27 (10.23 %),10.23,EASC-RBF,0.24,0.6369,0.0717
NASA,MW1,27 (10.23 %),10.23,EASC-RF,0.0588,0.6367,0.0253
NASA,MW1,27 (10.23 %),10.23,EASC-SVM,0.0,0.7671,0.0
NASA,CM1,42 (12.21 %),12.21,EASC-DT,0.2657,0.5904,0.2715
NASA,CM1,42 (12.21 %),12.21,EASC-LR,0.0,0.3342,0.0
NASA,CM1,42 (12.21 %),12.21,EASC-NB,0.2446,0.6217,0.8113
NASA,CM1,42 (12.21 %),12.21,EASC-RBF,0.0,0.5,0.0
NASA,CM1,42 (12.21 %),12.21,EASC-RF,0.125,0.6468,0.0099
NASA,CM1,42 (12.21 %),12.21,EASC-SVM,0.087,0.6895,0.0066
NASA,PC3,140 (12.44 %),12.44,EASC-DT,0.2469,0.5685,0.2183
NASA,PC3,140 (12.44 %),12.44,EASC-LR,0.2837,0.685,0.1036
NASA,PC3,140 (12.44 %),12.44,EASC-NB,0.1976,0.7283,0.0893
NASA,PC3,140 (12.44 %),12.44,EASC-RBF,0.1985,0.6532,0.0975
NASA,PC3,140 (12.44 %),12.44,EASC-RF,0.1732,0.7162,0.0934
NASA,PC3,140 (12.44 %),12.44,EASC-SVM,0.0,0.7213,0.0051
AEEEM,mylyn,245 (13.16 %),13.16,EASC-DT,0.227,0.5439,0.2591
AEEEM,mylyn,245 (13.16 %),13.16,EASC-LR,0.315,0.6704,0.0668
AEEEM,mylyn,245 (13.16 %),13.16,EASC-NB,0.249,0.5535,0.3878
AEEEM,mylyn,245 (13.16 %),13.16,EASC-RBF,0.3142,0.6879,0.1837
AEEEM,mylyn,245 (13.16 %),13.16,EASC-RF,0.2865,0.6727,0.0371
AEEEM,mylyn,245 (13.16 %),13.16,EASC-SVM,0.0541,0.6069,0.0043
AEEEM,pde,209 (13.96 %),13.96,EASC-DT,0.259,0.5652,0.2135
AEEEM,pde,209 (13.96 %),13.96,EASC-LR,0.3539,0.6742,0.0761
AEEEM,pde,209 (13.96 %),13.96,EASC-NB,0.3366,0.7206,0.1025
AEEEM,pde,209 (13.96 %),13.96,EASC-RBF,0.3464,0.6598,0.0675
AEEEM,pde,209 (13.96 %),13.96,EASC-RF,0.375,0.7361,0.0497
AEEEM,pde,209 (13.96 %),13.96,EASC-SVM,0.0721,0.6539,0.0039
NASA,KC3,36 (18.0 %),18.0,EASC-DT,0.2556,0.489,0.4878
NASA,KC3,36 (18.0 %),18.0,EASC-LR,0.3051,0.6375,1.0
NASA,KC3,36 (18.0 %),18.0,EASC-NB,0.3077,0.5213,0.9878
NASA,KC3,36 (18.0 %),18.0,EASC-RBF,0.3051,0.5122,1.0
NASA,KC3,36 (18.0 %),18.0,EASC-RF,0.2769,0.6607,0.122
NASA,KC3,36 (18.0 %),18.0,EASC-SVM,0.0541,0.6587,0.0
AEEEM,eclipse,206 (20.66 %),20.66,EASC-DT,0.3792,0.6048,0.2314
AEEEM,eclipse,206 (20.66 %),20.66,EASC-LR,0.4497,0.7196,0.2756
AEEEM,eclipse,206 (20.66 %),20.66,EASC-NB,0.5351,0.7745,0.3072
AEEEM,eclipse,206 (20.66 %),20.66,EASC-RBF,0.492,0.6785,0.3363
AEEEM,eclipse,206 (20.66 %),20.66,EASC-RF,0.5094,0.819,0.0392
AEEEM,eclipse,206 (20.66 %),20.66,EASC-SVM,0.141,0.7498,0.0063
NASA,MC2,44 (34.65 %),34.65,EASC-DT,0.2553,0.4074,0.4578
NASA,MC2,44 (34.65 %),34.65,EASC-LR,0.5176,0.6203,0.988
NASA,MC2,44 (34.65 %),34.65,EASC-NB,0.5443,0.5956,0.8554
NASA,MC2,44 (34.65 %),34.65,EASC-RBF,0.0,0.4277,0.0241
NASA,MC2,44 (34.65 %),34.65,EASC-RF,0.2963,0.717,0.0241
NASA,MC2,44 (34.65 %),34.65,EASC-SVM,0.1277,0.7051,0.0
AEEEM,equinox,129 (39.81 %),39.81,EASC-DT,0.3488,0.5829,0.0667
AEEEM,equinox,129 (39.81 %),39.81,EASC-LR,0.3647,0.4232,0.0513
AEEEM,equinox,129 (39.81 %),39.81,EASC-NB,0.4343,0.7382,0.041
AEEEM,equinox,129 (39.81 %),39.81,EASC-RBF,0.3038,0.6133,0.0256
AEEEM,equinox,129 (39.81 %),39.81,EASC-RF,0.2416,0.7204,0.0103
AEEEM,equinox,129 (39.81 %),39.81,EASC-SVM,0.1304,0.566,0.0
NASA,PC4,1221 (87.28 %),87.28,EASC-DT,0.1605,0.4976,0.0955
NASA,PC4,1221 (87.28 %),87.28,EASC-LR,0.0304,0.4835,0.0506
