Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-DT,0.4559,0.599,0.3274
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-LR,0.4565,0.6145,1.0
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-NB,0.0,0.6571,0.0
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-RBF,0.146,0.5299,0.032
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-RF,0.2809,0.6437,0.1246
RELINK,zxing1_6,118 (29.57 %),29.57,EASC-SVM,0.0,0.5,0.0
RELINK,openintents,22 (39.29 %),39.29,EASC-DT,0.6341,0.7072,0.1765
RELINK,openintents,22 (39.29 %),39.29,EASC-LR,0.5641,0.6604,1.0
RELINK,openintents,22 (39.29 %),39.29,EASC-NB,0.0,0.8396,0.0
RELINK,openintents,22 (39.29 %),39.29,EASC-RBF,0.7,0.8102,0.1176
RELINK,openintents,22 (39.29 %),39.29,EASC-RF,0.5714,0.8583,0.0882
RELINK,openintents,22 (39.29 %),39.29,EASC-SVM,0.0,0.8369,0.0
RELINK,Apache,98 (50.52 %),50.52,EASC-DT,0.7039,0.6554,0.5521
RELINK,Apache,98 (50.52 %),50.52,EASC-LR,0.7295,0.7446,0.5938
RELINK,Apache,98 (50.52 %),50.52,EASC-NB,0.7179,0.7344,0.5417
RELINK,Apache,98 (50.52 %),50.52,EASC-RBF,0.6587,0.7189,0.1458
RELINK,Apache,98 (50.52 %),50.52,EASC-RF,0.7129,0.7647,0.3333
RELINK,Apache,98 (50.52 %),50.52,EASC-SVM,0.4967,0.7473,0.1771
