,0,1,2,3,4,5,6,7,8,9,10,11
Measures,F1,F1,F1,F1,AUC,AUC,AUC,AUC,PF,PF,PF,PF
Project,AEEEM,NASA,PROMISE,RELINK,AEEEM,NASA,PROMISE,RELINK,AEEEM,NASA,PROMISE,RELINK
EASC-DT,0.294$\pm$0.059,0.153$\pm$0.109,0.41$\pm$0.136,0.598$\pm$0.104,0.581$\pm$0.024,0.495$\pm$0.053,0.591$\pm$0.084,0.654$\pm$0.044,0.186$\pm$0.068,0.385$\pm$0.265,0.227$\pm$0.118,0.352$\pm$0.154
EASC-LR,0.365$\pm$0.046,0.146$\pm$0.169,0.25$\pm$0.17,0.583$\pm$0.112,0.617$\pm$0.104,0.377$\pm$0.215,0.651$\pm$0.132,0.673$\pm$0.054,0.1$\pm$0.089,0.219$\pm$0.389,0.051$\pm$0.055,0.865$\pm$0.191
EASC-NB,0.371$\pm$0.102,0.253$\pm$0.147,0.29$\pm$0.157,0.239$\pm$0.338,0.693$\pm$0.076,0.688$\pm$0.182,0.726$\pm$0.108,0.744$\pm$0.075,0.176$\pm$0.144,0.337$\pm$0.372,0.067$\pm$0.062,0.181$\pm$0.255
EASC-RBF,0.363$\pm$0.068,0.057$\pm$0.071,0.36$\pm$0.175,0.502$\pm$0.252,0.648$\pm$0.035,0.559$\pm$0.162,0.733$\pm$0.116,0.686$\pm$0.117,0.129$\pm$0.118,0.045$\pm$0.039,0.087$\pm$0.088,0.098$\pm$0.048
EASC-RF,0.345$\pm$0.093,0.096$\pm$0.093,0.387$\pm$0.166,0.522$\pm$0.18,0.742$\pm$0.048,0.609$\pm$0.158,0.705$\pm$0.125,0.756$\pm$0.088,0.029$\pm$0.016,0.143$\pm$0.239,0.156$\pm$0.146,0.182$\pm$0.108
EASC-SVM,0.095$\pm$0.034,0.033$\pm$0.045,0.238$\pm$0.18,0.166$\pm$0.234,0.637$\pm$0.063,0.624$\pm$0.212,0.679$\pm$0.105,0.695$\pm$0.142,0.006$\pm$0.005,0.002$\pm$0.002,0.037$\pm$0.042,0.059$\pm$0.083
EASC-KNE,0.275$\pm$0.068,0.054$\pm$0.058,0.329$\pm$0.152,0.493$\pm$0.207,0.669$\pm$0.05,0.546$\pm$0.117,0.687$\pm$0.114,0.713$\pm$0.067,0.039$\pm$0.041,0.059$\pm$0.059,0.121$\pm$0.129,0.156$\pm$0.096
EASC-KNOP,0.31$\pm$0.064,0.158$\pm$0.112,0.372$\pm$0.155,0.589$\pm$0.097,0.612$\pm$0.064,0.525$\pm$0.09,0.654$\pm$0.109,0.727$\pm$0.07,0.102$\pm$0.055,0.306$\pm$0.298,0.143$\pm$0.13,0.355$\pm$0.134
EASC-KNU,0.332$\pm$0.089,0.063$\pm$0.064,0.327$\pm$0.162,0.543$\pm$0.203,0.647$\pm$0.079,0.541$\pm$0.113,0.688$\pm$0.118,0.739$\pm$0.074,0.052$\pm$0.05,0.037$\pm$0.048,0.076$\pm$0.089,0.191$\pm$0.101
EASC-LCA,0.291$\pm$0.04,0.158$\pm$0.113,0.389$\pm$0.144,0.595$\pm$0.095,0.527$\pm$0.057,0.435$\pm$0.138,0.609$\pm$0.104,0.636$\pm$0.03,0.127$\pm$0.048,0.206$\pm$0.079,0.154$\pm$0.098,0.332$\pm$0.133
EASC-MCB,0.322$\pm$0.067,0.159$\pm$0.111,0.407$\pm$0.144,0.536$\pm$0.117,0.604$\pm$0.065,0.539$\pm$0.092,0.66$\pm$0.105,0.638$\pm$0.037,0.105$\pm$0.055,0.222$\pm$0.133,0.179$\pm$0.124,0.272$\pm$0.134
EASC-METADES,0.302$\pm$0.074,0.145$\pm$0.096,0.351$\pm$0.153,0.595$\pm$0.105,0.675$\pm$0.047,0.539$\pm$0.133,0.693$\pm$0.115,0.736$\pm$0.069,0.093$\pm$0.061,0.302$\pm$0.298,0.127$\pm$0.122,0.31$\pm$0.086
EASC-OLA,0.304$\pm$0.052,0.167$\pm$0.111,0.413$\pm$0.146,0.585$\pm$0.091,0.525$\pm$0.056,0.472$\pm$0.074,0.601$\pm$0.097,0.625$\pm$0.033,0.184$\pm$0.079,0.42$\pm$0.238,0.223$\pm$0.113,0.358$\pm$0.139
EASC-RANK,0.304$\pm$0.052,0.167$\pm$0.111,0.412$\pm$0.144,0.585$\pm$0.091,0.525$\pm$0.056,0.472$\pm$0.074,0.609$\pm$0.101,0.625$\pm$0.033,0.184$\pm$0.079,0.42$\pm$0.238,0.228$\pm$0.118,0.358$\pm$0.139
